FIELD NAME,FIELD VALUE
Company Name,ANNIES AVOCADOS
Employer Address,25 TOWNE ST
Employer State,NEW YORK
Employer Zip,10013
Employer City,NEW YORK
Checking,TRUE
Savings,FALSE
Account Number,5555451010
Routing Number,1129543
Percent,100
Flat Amount,
Company Name,BLOOMBERG
Employer Address,731 LEXINGTON AVE
Employer State,NEW YORK
Employer Zip,10020
Employer City,NEW YORK
Checking,FALSE
Savings,TRUE
Account Number,003257890
Routing Number,3257890
Percent,
Flat Amount,25.00
Company Name,JOHNSON & SONS LLC
Employer Address,1 WTC F45A
Employer State,NEW YORK
Employer Zip,10003
Employer City,NEW YORK
Checking,TRUE
Savings,FALSE
Account Number,123456789
Routing Number,987654321
Percent,
Flat Amount,1000000.00
Company Name,KWS FACTORY
Employer Address,OWTC
Employer State,
Employer Zip,11201
Employer City,NYC
Checking,TRUE
Savings,FALSE
Account Number,47654587W5431
Routing Number,1298741
Percent,1000000
Flat Amount,
